customerid;tenure
8148-BPLZQ;34
2623-DRYAM;70
4488-KQFDT;61
5693-PIPCS;41
0491-KAPQG;21
1925-LFCZZ;55
9373-WSLOY;33
9819-FBNSV;37
9544-PYPSJ;62
0396-UKGAI;23
2203-GHNWN;24
0512-FLFDW;60
1771-OADNZ;29
0487-CRLZF;49
2107-FBPTK;30
9419-IPPBE;51
5699-BNCAS;71
2900-PHPLN;70
8106-GWQOK;38
8450-LUGUK;37
1545-JFUML;71
3194-ORPIK;50
7826-VVKWT;24
1353-GHZOS;22
2587-EKXTS;44
9378-FXTIZ;54
1723-HKXJQ;42
4433-JCGCG;46
2842-BCQGE;43
7244-QWYHG;50
6038-GCYEC;24
1150-WFARN;67
6088-BXMRG;32
7346-MEDWM;59
4227-OJHAL;68
4993-JCRGJ;26
4877-TSOFF;55
6961-VCPMC;46
7306-YDSOI;69
8468-EHYJA;57
6352-GIGGQ;67
3635-QQRQD;62
6771-XWBDM;57
3082-YVEKW;23
7134-HBPBS;72
2984-TBYKU;72
9822-WMWVG;41
2522-AHJXR;60
0412-UCCNP;55
9385-NXKDA;72
9351-HXDMR;72
3537-HPKQT;55
2129-ALKBS;40
1309-XGFSN;52
1866-RZZQS;41
6968-URWQU;43
1335-MXCSE;55
1469-LBJQJ;66
4958-XCBDQ;35
0064-YIJGF;27
2386-OWURY;58
6712-OAWRH;26
7868-BGSZA;43
2800-QQUSO;42
7973-DZRKH;66
2533-QVMSK;61
8625-AZYZY;24
6837-HAEVO;69
6701-YVNQG;72
4304-XUMGI;50
8819-ZBYNA;58
6174-NRBTZ;46
9481-IEBZY;72
8374-XGEJJ;43
6946-LMSQS;25
4626-OZDTJ;51
2325-ZUSFD;57
7714-YXSMB;26
4039-HEUNW;36
3594-UVONA;35
5089-IFSDP;58
6418-HNFED;51
0206-OYVOC;46
0237-YFUTL;50
6710-HSJRD;61
0840-DCNZE;47
1732-FEKLD;54
0479-HMSWA;26
4817-VYYWS;30
4922-CVPDX;26
1396-QWFBJ;21
1357-BIJKI;50
1099-BTKWT;68
2403-BCASL;41
7392-YYPYJ;22
2898-LSJGD;21
2223-GDSHL;71
9470-RTWDV;26
3786-WOVKF;72
3886-CERTZ;72
8015-IHCGW;72
9278-VZKCD;52
2773-OVBPK;67
5206-XZZQI;53
8261-GWDBQ;60
8938-UMKPI;47
3115-JPJDD;59
6339-TBELP;71
6173-GOLSU;67
7716-YTYHG;48
9702-AIUJO;50
8849-PRIQJ;67
8851-RAGOV;25
5655-JSMZM;49
9861-PDSZP;72
6704-UTUKK;29
8788-DOXSU;59
3692-JHONH;52
8915-NNTRC;72
5382-TEMLV;45
3441-CGZJH;43
4778-IZARL;63
7008-LZVOZ;66
8868-WOZGU;28
6194-HBGQN;51
0406-BPDVR;54
0618-XWMSS;28
6023-GSSXW;69
0420-HLGXF;39
7446-KQISO;45
9823-EALYC;72
5803-NQJZO;72
2607-DHDAK;72
0743-HRVFF;51
4006-HKYHO;63
8143-ETQTI;23
4334-HOWRP;72
0266-GMEAO;72
8309-PPCED;72
4098-NAUKP;68
1485-YDHMM;52
5862-BRIXZ;46
3308-JSGML;59
2126-GSEGL;70
0440-QEXBZ;44
2434-EEVDB;64
2675-DHUTR;58
8152-VETUR;72
9667-EQRXU;30
9522-BNTHX;34
2873-ZLIWT;40
4872-VXRIL;56
9140-CZQZZ;68
9938-TKDGL;68
0531-ZZJWQ;55
0946-CLJTI;58
3160-TYXLT;53
1325-USMEC;70
0628-CNQRM;22
0324-BRPCJ;68
5640-CAXOA;30
2476-YGEFM;29
9974-JFBHQ;64
5214-NLTIT;72
9189-JWSHV;24
2190-PHBHR;72
2650-GYRYL;33
6627-CFOSN;59
3982-JGSFD;36
6016-NXBNJ;35
0576-WNXXC;27
2716-GFZOR;43
8626-XHBIE;56
4628-CTTLA;57
3192-LNKRK;34
3005-TYFRD;55
8670-MEFCP;36
7278-CKDNC;24
8450-UYIBU;35
4822-YCXMX;25
9821-POOTN;35
7733-UDMTP;57
6904-JLBGY;72
6917-YACBP;59
1194-BHJYC;61
1209-VFFOC;68
4553-DVPZG;62
7572-KPVKK;62
2357-COQEK;28
2027-WKXMW;63
2961-VNFKL;71
1768-HNVGJ;45
5934-RMPOV;22
4088-YLDSU;55
0017-IUDMW;72
8706-HRADD;21
9955-QOPOY;69
4385-ZKVNW;44
5446-DKWYW;61
2034-CGRHZ;24
9031-ZVQPT;72
5451-YHYPW;72
6481-LXPWL;56
9362-MWODR;40
5153-LXKDT;68
5161-UBZXI;69
6867-ACCZI;24
9054-FOWNV;22
2683-BPJSO;29
8207-VVMYB;70
9360-AHGNL;43
6195-MELTI;57
2121-JAFOM;72
8818-DOPVL;46
2632-UCGVD;66
1227-UDMZR;72
5198-HQAEN;35
2167-FQSTQ;72
1043-YCUTE;56
3814-MLAXC;31
6821-JPCDC;48
8815-LMFLX;25
9135-HSWOC;64
8582-KRHPJ;50
6425-YQLLO;66
2091-RFFBA;31
3740-RLMVT;67
2186-QZEYA;29
7729-XBTWX;66
0559-CKHUS;29
2931-SVLTV;40
6899-PPEEA;37
2582-FFFZR;22
8908-NMQTX;72
6288-LBEAR;23
4597-NUCQV;24
4369-NYSCF;56
6333-YDVLT;65
5325-UWTWJ;31
3244-CQPHU;72
2674-MLXMN;71
2200-DSAAL;68
4302-ZYFEL;69
9351-LZYGF;42
4366-CTOUZ;50
1518-OMDIK;33
0595-ITUDF;64
1955-IBMMB;59
9133-AYJZG;23
8680-CGLTP;29
5018-GWURO;56
6741-QRLUP;63
0537-QYZZN;24
2718-YSKCS;71
9896-UYMIE;66
0853-NWIFK;45
8212-CRQXP;22
6980-CDGFC;67
7691-XVTZH;68
7481-ATQQS;49
1930-BZLHI;21
1482-OXZSY;30
0377-JBKKT;22
2057-ZBLPD;21
5502-RLUYV;69
7663-YJHSN;72
3086-RUCRN;66
7576-JMYWV;46
9039-RBEEE;39
1307-ATKGB;24
3714-XPXBW;37
2824-DXNKN;72
3621-CHYVB;57
0420-TXVSG;66
6874-SGLHU;30
5951-AOFIH;33
3891-NLXJB;37
2263-SFSQZ;51
9950-MTGYX;28
3397-AVTKU;43
7821-DPRQE;68
6543-XRMYR;30
1608-GMEWB;45
1619-YWUBB;68
2037-SGXHH;38
0082-OQIQY;29
3606-SBKRY;31
0667-NSRGI;48
6893-ODYYE;50
2479-BRAMR;41
2665-NPTGL;26
8644-XYTSV;42
3714-JTVOV;42
8259-DZLIZ;64
0442-ZXKVS;54
3120-FAZKD;54
0575-CUQOV;60
1264-BYWMS;55
6917-FIJHC;72
0707-HOVVN;70
3956-MGXOG;28
4077-HWUYD;72
0103-CSITQ;57
3934-HXCFZ;23
6578-KRMAW;32
7666-WKRON;39
9688-YGXVR;44
5360-LJCNJ;71
9647-ERGBE;30
4355-HBJHH;67
5339-TJFEK;62
5572-ZDXHY;22
4625-XMOYM;72
5827-MWCZK;56
5914-XRFQB;72
8063-GBATB;27
8375-KVTHK;68
2697-NQBPF;34
3709-OIJEA;26
7639-SUPCW;22
6377-WHAOX;60
8999-XXGNS;72
0471-ARVMX;62
5650-YLIBA;31
6122-LJADA;70
7569-NMZYQ;72
2105-PHWON;33
1897-RCFUM;39
4658-HCOHW;21
1834-ABKHQ;52
3932-IJWDZ;45
1240-HCBOH;67
8065-BVEPF;65
0813-TAXXS;55
2519-TWKFS;25
2889-FPWRM;72
0626-QXNGV;72
6987-XQSJT;54
8705-DWKTI;52
8755-IWJHN;69
0929-PECLO;63
3680-CTHUH;60
1820-DJFPH;72
9470-YFUYI;71
7402-EYFXX;26
5458-CQJTA;65
5219-YIPTK;33
5172-RKOCB;72
3178-CIFOT;23
4530-NDRKU;42
9800-ONTFE;22
6743-HHQPF;42
6616-AALSR;65
9415-ZNBSX;70
8780-RSYYU;25
3393-FMZPV;25
6402-ZFPPI;25
7486-KSRVI;43
8218-FFJDS;72
9360-OMDZZ;24
6305-YLBMM;69
0345-XMMUG;46
8024-XNAFQ;72
3647-GMGDH;22
2988-GBIVW;70
7036-ZZKBD;31
3791-LGQCY;56
0129-KPTWJ;72
8166-ZZTFS;66
5956-YHHRX;21
6008-NAIXK;54
2956-GGUCQ;24
0961-ZWLVI;49
5181-OABFK;56
4007-NHVHI;56
7550-WIQVA;50
7544-ZVIKX;58
0016-QLJIS;65
7508-DQAKK;64
9356-AXGMP;38
0362-ZBZWJ;36
7581-EBBOU;60
5073-RZGBK;50
2192-CKRLV;72
3154-HMWUU;60
6522-OIQSX;69
7813-ZGGAW;31
0723-FDLAY;44
9298-WGMRW;72
8544-JNBOX;72
6139-ZZRBQ;64
6116-RFVHN;34
9518-IMLHK;31
3569-VLDHH;66
4001-TSBTV;58
1043-UXOVO;71
8627-EHGIP;44
7402-PWYJJ;53
5480-TBGPH;24
7608-RGIRO;62
6749-UTDVX;72
5216-WASFJ;31
7067-KSAZT;65
2284-VFLKH;49
3807-BPOMJ;55
3892-NXAZG;72
4948-WBBKL;36
5734-EJKXG;61
6729-FZWSY;67
9695-IDRZR;34
8631-WUXGY;46
7270-BDIOA;22
9565-JSNFM;38
5906-DVAPM;55
5641-DMBFJ;58
9200-NLNPD;56
2664-XJZNO;72
3339-EAQNV;72
0536-ESJEP;54
8510-BBWMU;41
2360-RDGRO;65
0584-BJQGZ;25
1360-XFJMR;67
5730-RIITO;43
9058-MJLZC;24
8696-JKZNU;37
8190-ZTQFB;41
0931-MHTEM;54
0440-UEDAI;53
0868-VJRDR;64
8714-EUHJO;31
6941-KXRRV;48
9475-NNDGC;71
2568-OIADY;37
5825-XJOCM;48
6848-YLDFR;58
8125-QPFJD;72
1193-RTSLK;38
7869-ZYDST;31
4501-UYKBC;46
8404-VIOMB;66
2359-KLTEK;41
5304-EFJLP;72
4393-RYCRE;44
9746-MDMBK;47
3162-ZJZFU;53
0533-UCAAU;57
1394-SUIUH;44
3521-MNKLV;24
7137-RYLPP;37
3359-DSRKA;58
8639-NHQEI;72
3957-LXOLK;28
3720-DBRWL;51
8565-WUXZU;72
5281-BUZGT;36
8242-PDSGJ;70
0089-IIQKO;39
6075-QMNRR;52
5966-EMAZU;64
0440-EKDCF;62
2055-BFOCC;63
5566-SOEZD;27
2272-WUSPA;72
3898-GUYTS;45
0930-EHUZA;36
4973-MGTON;71
4735-ASGMA;26
5117-IFGPS;29
0060-FUALY;59
7480-QNVZJ;50
3943-KDREE;26
2197-OMWGI;68
4822-LPTYJ;72
8165-CBKXO;66
6527-PZFPV;24
9593-CVZKR;56
7124-UGSUR;61
1862-SKORY;40
4827-DPADN;72
1502-XFCVR;58
7740-KKCXF;51
5360-XGYAZ;72
8920-NAVAY;62
0567-XRHCU;69
2067-QYTCF;64
2359-QWQUL;39
9699-UBQFS;43
1261-FWTTE;23
3528-HFRIQ;71
5231-FIQPA;41
1401-FTHFQ;23
0254-FNMCI;72
9927-DSWDF;22
8149-AIQCG;39
1360-JYXKQ;54
7762-URZQH;66
0899-WZRSD;56
6094-ZIVKX;68
1376-HHBDV;30
6907-NZZIJ;36
3744-ZRRDZ;21
6551-ZCOTS;33
6892-BOGQE;71
4628-WQCQQ;35
5995-SNNEW;23
8050-WYBND;22
4879-GZLFH;42
1644-IRKSF;33
9402-ROUMJ;67
7159-NOKYQ;67
5707-ZMDJP;53
7136-IHZJA;40
7074-STDCN;39
3705-PSNGL;45
2676-SSLTO;49
6266-QHOJZ;65
8547-NSBBO;35
9070-BCKQP;72
6421-SZVEM;28
2995-UPRYS;40
8878-RYUKI;52
9633-DENPU;47
5371-VYLSX;50
5317-FLPJF;66
7621-VPNET;42
4188-FRABG;57
8199-ZLLSA;67
5980-NOPLP;44
3850-OKINF;71
6892-XPFPU;24
8016-NCFVO;55
4119-ZYPZY;71
6408-OTUBZ;66
5204-HMGYF;49
3727-OVPRY;66
7622-NXQZR;28
6196-HBOBZ;65
3970-XGJDU;62
8807-OPMBM;55
5439-WIKXB;41
8294-UIMBA;30
4188-PCPIG;57
3672-YITQD;36
4350-ZTLPI;53
5727-MYATE;72
8988-ECPJR;34
7570-WELNY;68
3021-VLNRJ;50
2080-CAZNM;41
1028-FFNJK;30
3001-UNBTL;29
5982-PSMKW;23
1902-XBTFB;22
1676-MQAOA;72
7566-DSRLQ;72
7245-JMTTQ;51
6050-IJRHS;70
8591-TKMZH;59
4282-ACRXS;38
9381-NDKME;24
1841-YSJGV;72
2794-XIMMO;53
5336-UFNZP;65
9233-PSYHO;45
5376-PCKNB;72
8327-LZKAS;43
7025-IWFHT;41
6261-LHRTG;26
7841-FCRQD;33
8777-MBMTS;65
7753-USQYQ;55
6233-HXJMX;45
5902-WBLSE;70
4971-PUYQO;27
2615-YVMYX;71
2851-STERV;35
8486-AYEQH;31
1527-SXDPN;52
6029-WTIPC;37
8634-CILSZ;69
2495-KZNFB;33
1409-PHXTF;54
9591-YVTEB;55
9309-BZGNT;69
4274-DRSQT;66
2027-DNKIV;37
6682-QJDGB;40
6723-WSNTY;66
1061-PNTHC;56
6574-MCOEH;33
9479-HYNYL;71
3642-GKTCT;61
2927-CVULT;53
8745-PVESG;57
7647-GYYKX;54
5647-FXOTP;60
5569-OUICF;28
2082-OJVTK;29
9839-ETQOE;43
9027-TMATR;43
9110-HSGTV;69
1470-PSXNM;49
9866-OCCKE;72
7718-UPSKJ;69
1448-CYWKC;58
0334-ZFJSR;55
2894-QOJRX;25
5583-EJXRD;44
4565-EVZMJ;47
6386-SZZKH;49
3327-YBAKM;64
3521-SYVOR;37
6283-GITPX;71
0771-CHWSK;66
9788-HNGUT;72
9495-REDIY;25
5375-XLDOF;69
6559-PDZLR;26
4724-WXVWF;48
8232-CTLKO;66
9227-YBAXE;65
0877-SDMBN;54
2786-GCDPI;50
4043-MKDTV;71
6284-KMNUF;56
9465-RWMXL;32
6229-UOLQL;56
2362-IBOOY;36
5118-MUEYH;48
5627-TVBPP;35
4067-HLYQI;33
0292-WEGCH;54
8910-ICHIU;46
4097-YODCF;34
9715-WZCLW;71
6005-OBZPH;26
4049-ZPALD;64
3733-UOCWF;61
2722-VOJQL;64
8961-QDZZJ;57
6435-VWCCY;65
8630-QSGXK;51
2455-USLMV;31
9488-FVZCC;72
5995-WWKKG;37
7879-CGSFV;55
9921-EZKBY;33
5959-BELXA;32
2481-SBOYW;61
1833-TCXKK;45
1832-PEUTS;62
0580-PIQHM;41
4012-YCFAI;60
1221-GHZEP;62
9289-LBQVU;64
3458-IDMFK;25
6933-FHBZC;26
6538-POCHL;33
3002-WQZWT;29
1114-CENIM;54
2725-TTRIQ;72
3374-TTZTK;52
6289-CPNLD;33
5536-SLHPM;55
4419-UJMUS;69
5519-TEEUH;33
7856-GANIL;45
2799-TSLAG;65
7614-QVWQL;49
5753-QQWPW;28
6586-MYGKD;70
0248-PGHBZ;67
7472-EQOAV;71
9574-RKJIF;30
8034-RYTVV;55
3863-QSTYI;59
1333-PBMXB;54
6546-OPBBH;51
9127-QRZMH;44
9644-KVCNC;66
9279-CJEOJ;21
2404-JIBFC;55
8029-XYPWT;71
6804-GDMOI;61
9572-MTILT;59
8838-GPHZP;63
0675-NCDYU;72
8023-QHAIO;56
2270-CHBFN;44
5982-FPVQN;37
9107-UKCKY;61
4654-ULTTN;70
5271-YNWVR;68
1707-HABPF;46
0487-VVUVK;25
4508-OEBEY;31
0027-KWYKW;23
6284-AHOOQ;22
2460-FPSYH;40
4818-DRBQT;29
6847-KJLTS;58
9670-BPNXF;45
3913-FCUUW;72
3301-VKTGC;68
5286-YHCVC;72
4391-RESHN;23
9115-YQHGA;40
4462-CYWMH;62
8963-MQVYN;22
9801-GDWGV;39
2087-QAREY;22
4942-VZZOM;64
7502-BNYGS;46
4291-HYEBC;28
4471-KXAUH;42
5666-MBJPT;65
2371-JQHZZ;24
0674-GCDXG;63
1121-QSIVB;44
2824-MYYBN;37
6345-HOVES;34
0147-ESWWR;39
1217-VASWC;43
5057-LCOUI;39
0193-ESZXP;58
9386-LDCZR;43
9585-KKMFD;41
0336-KXKFK;72
5327-XOKKY;72
0983-TATYJ;33
0156-FVPTA;22
1984-FCOWB;70
3312-ZWLGF;29
5287-QWLKY;71
6297-NOOPG;70
8204-TIFGJ;23
0363-QJVFX;32
1089-XZWHH;24
2325-WINES;32
3096-JRDSO;27
2888-ADFAO;47
8707-HOEDG;70
7167-PCEYD;67
6408-WHTEF;72
5135-GRQJV;72
3580-GICBM;61
9730-DRTMJ;32
4686-UXDML;21
3349-ANQNH;59
7480-SPLEF;69
1421-HCERK;30
1265-XTECC;68
1972-XMUWV;65
8679-LZBMD;44
3407-JMJQQ;71
8645-KOMJQ;69
4291-TPNFG;72
2237-ZFSMY;39
1818-ESQMW;27
0506-YLVKJ;46
8661-BOYNW;72
6711-VTNRE;36
0980-PVMRC;40
7233-DRTRF;63
1162-ECVII;72
7048-GXDAY;39
8571-ZCMCX;47
8695-ARGXZ;34
3570-YUEKJ;42
2419-FSORS;72
3396-DKDEL;70
1752-OZXFY;60
9066-QRSDU;69
9867-NNXLC;22
3161-GETRM;34
5055-MGMGF;65
1534-OULXE;61
7136-RVDTZ;70
1480-IVEVR;35
9391-YZEJW;62
0281-CNTZX;63
4118-CEVPF;35
3398-ZOUAA;21
2338-BQEZT;55
7969-AULMZ;21
2428-HYUNX;44
0733-VUNUW;24
6777-TGHTM;53
6603-YRDCJ;33
3229-USWAR;34
4785-QRJHC;46
8610-WFCJF;49
9693-XMUOB;59
0383-CLDDA;69
7881-INRLC;45
8033-ATFAS;39
9943-VSZUV;67
1455-HFBXA;52
5343-SGUBI;52
7248-VZQLC;47
6156-UZDLF;26
9500-WBGRP;69
5183-KLYEM;72
9355-NPPFS;26
5828-DWPIL;62
8398-TBIYD;72
9912-GVSEQ;26
9418-RUKPH;38
9971-ZWPBF;34
9711-FJTBX;56
2908-ZTPNF;36
8421-WZOOW;57
7951-QKZPL;33
3640-PHQXK;31
7163-OCEQI;22
5975-BAICR;36
8019-ENHXU;42
2324-EFHVG;64
8577-QSOCG;38
0212-ISBBF;22
1472-TNCWL;36
9661-ACXBS;42
0442-TDYUO;48
6733-LRIZX;35
3915-ODIYG;60
1360-RCYRT;23
6646-VRFOL;53
5671-UUNXD;50
0956-ACVZC;54
0440-MOGPM;41
2027-OAQQC;43
9090-SGQXL;68
6595-YGXIT;25
9835-ZIITK;66
7537-CBQUZ;63
1555-DJEQW;70
9253-QXKBE;29
0057-QBUQH;43
9445-SZLCH;36
8331-ZXFOE;58
7325-ENZFI;39
3920-HIHMQ;26
3055-OYMSE;53
0613-WUXUM;70
6013-BHCAW;61
0401-WDBXM;72
9691-HKOVS;55
1468-DEFNC;64
5119-KEPFY;36
0916-KNFAJ;61
8319-QBEHW;26
9625-QNLUX;68
4024-CSNBY;72
7110-BDTWG;71
4700-UBQMV;21
3565-UNOCC;29
9795-NREXC;64
9249-FXSCK;52
5553-AOINX;66
3831-YCPUO;72
7445-WMRBW;48
3308-DGHKL;69
9924-JPRMC;72
7153-CHRBV;57
4132-POCZS;52
5614-DNZCE;58
1095-JUDTC;47
3896-RCYYE;67
3726-TBHQT;71
5385-SUIRI;52
3982-XWFZQ;42
5774-QPLTF;50
2322-VCZHZ;23
4009-ALQFH;25
8990-YOZLV;69
6685-XSHHU;60
8901-UPRHR;72
0118-JPNOY;26
0725-CXOTM;36
9000-PLFUZ;60
4077-CROMM;31
1658-XUHBX;59
4377-VDHYI;32
0475-RIJEP;43
3719-TDVQB;54
0201-MIBOL;66
4937-QPZPO;61
6981-TDRFT;44
3413-CSSTH;41
8033-VCZGH;50
4789-KWMXN;47
4718-WXBGI;72
2868-LLSKM;68
2988-QRAJY;69
2856-NNASM;43
1090-PYKCI;69
7547-EKNFS;42
2279-AXJJK;52
0909-SELIE;61
3417-TSCIC;29
1042-HFUCW;25
1599-MMYRQ;62
8821-KVZKQ;70
0042-JVWOJ;26
1452-UZOSF;72
6631-HMANX;72
5995-LFTLE;58
1932-UEDCX;33
0665-XHDJU;72
3544-FBCAS;72
5331-RGMTT;54
4759-PXTAN;59
7054-DMVAS;54
3428-MMGUB;60
9074-KGVOX;50
6128-DAFVY;56
9933-QRGTX;60
4476-OSWTN;69
5813-UECBU;33
2946-KIQSP;35
6726-WEXXK;27
4636-OLWOE;54
4685-ERGHK;57
7208-PSIHR;70
4012-ZTHBR;21
0489-WMEMG;23
2985-FMWYF;23
3223-WZWJM;26
2530-ENDWQ;71
4023-RTIQM;31
7356-IWLFW;46
9541-PWTWO;52
3967-VQOGC;67
1597-LHYNC;26
0186-CAERR;71
5872-OEQNH;60
3162-KKZXO;55
7055-VKGDA;54
5696-JVVQY;48
8904-OPDCK;54
8845-LWKGE;30
0691-NIKRI;40
3249-VHRIP;62
3736-BLEPA;28
6603-QWSPR;46
4378-MYPGO;68
8651-ENBZX;60
4129-LYCOI;67
8647-SDTWQ;57
3323-CPBWR;23
3384-CTMSF;47
9286-DOJGF;38
1025-FALIX;26
2347-WKKAE;42
1027-LKKQQ;72
9717-IOAAF;27
2845-KDHVX;64
6734-FQAJX;67
2869-ADAWR;45
0943-ZQPXH;44
1293-BSEUN;72
2378-VTKDH;65
6656-GULJQ;72
6994-FGRHH;70
3999-WRNGR;60
3466-RITXD;26
3058-HJCUY;41
2974-GGUXS;36
3259-FDWOY;71
2101-RANCD;55
8510-TMWYB;54
3258-ZKPAI;72
1428-IEDPR;52
5298-GSTLM;60
4450-YOOHP;39
5748-RNCJT;69
3653-NCRDJ;43
6519-ZHPXP;72
7739-LAXOG;32
8224-UAXBZ;58
9776-CLUJA;51
2486-WYVVE;31
3865-ZYKAD;69
1422-DGUBX;32
6034-ZRYCV;72
6332-FBZRI;67
9137-UIYPG;35
2809-ZMYOQ;32
6302-JGYRJ;31
2205-LPVGL;58
3685-YLCMQ;58
4868-AADLV;66
8634-MPHTR;47
2669-QVCRG;41
2478-EEWWM;59
3256-EZDBI;51
0419-YAAPX;49
0872-CASZJ;59
4726-DLWQN;50
3518-FSTWG;72
9330-VOFSZ;60
2911-IJORQ;37
5921-NGYRH;64
5998-DZLYR;61
4310-KEDTB;26
4062-HBMOS;52
4753-PADAS;67
7018-FPXHH;56
5708-EVONK;58
8708-XPXHZ;42
5135-RDDQL;63
6166-YIPFO;72
7016-BPGEU;29
4184-VODJZ;63
3190-XFANI;49
4923-ADWXJ;25
1104-TNLZA;28
5195-KPUNQ;53
0520-FDVVT;35
5949-HGVJL;26
6661-HBGWL;42
9828-QHFBK;24
3908-MKIMJ;68
1309-BXVOQ;21
6728-VOIFY;63
4891-NLUBA;61
8709-KRDVL;33
1427-VERSM;56
1548-FEHVL;61
3795-CAWEX;70
6258-PVZWJ;68
2978-XXSOG;22
9558-IHEZX;71
9617-UDPEU;22
6813-GZQCG;45
7426-GSWPO;64
4701-AHWMW;55
5702-KVQRD;71
6169-PGNCD;57
4657-FWVFY;40
6518-LGAOV;38
4576-CSAJH;22
9600-NAXZN;43
8822-KNBHV;48
8404-FYDIB;26
9888-ZCUMM;64
6437-UDQJM;72
1122-YJBCS;69
4816-OKWNX;50
4747-LCAQL;25
0898-XCGTF;61
0827-ITJPH;36
8799-OXZMD;28
0818-OCPZO;27
4480-MBMLB;36
2832-KJCRD;38
3588-WSTTJ;35
5090-EMGTC;59
4186-ZBUEW;36
5274-XHAKY;41
9412-ARGBX;48
9589-ABEPT;69
7605-SNLQG;45
4670-TABXH;72
8561-NMTBD;67
8591-NXRCV;41
7895-VONWT;25
8080-POTJR;30
6906-MPARY;40
3662-FXJFO;54
8107-RZLNV;72
9912-OMZDS;59
3733-ZEECP;22
2452-MRMZF;72
3545-CNWRG;49
4989-LIXVT;68
9530-GRMJG;70
5481-NTDOH;67
7359-SSBJK;64
2256-YLYLP;68
0164-XAIRP;24
5666-CYCYZ;24
7558-IMLMT;67
9488-FYQAU;63
7957-RYHQD;40
5515-AKOAJ;54
2144-ESWKO;43
1754-GKYPY;22
7956-XQWGU;27
1591-MQJTP;51
7471-MQPOS;71
5115-SQAAU;69
1488-SYSFC;31
7931-PXHFC;38
3990-QYKBE;37
3259-KNMRR;57
6120-RJKLU;62
5893-KCLGT;72
0076-LVEPS;29
3090-HAWSU;61
3174-RKMOW;35
8441-SHIPE;67
1320-GVNHT;72
3541-ZNUHK;55
8725-JEDFD;27
8071-SBTRN;70
5681-LLOEI;43
4323-OHFOW;70
1116-DXXDF;39
6563-VNPMN;45
3005-NFMTA;55
5389-FFVKB;32
8444-WRIDW;66
5022-KVDQT;27
1036-GUDCL;60
7815-PDTHL;35
7964-ZRKKG;67
5060-TQUQN;30
8465-SBRXP;38
2408-PSJVE;44
8738-JOKAR;42
1930-WNXSB;58
2685-SREOM;25
0402-CQAJN;37
0657-DOGUM;48
5906-CVLHP;45
3452-SRFEG;49
5297-MDOIR;63
6369-MCAKO;68
4926-UMJZD;31
6341-AEVKX;62
0682-USIXD;21
7078-NVFAM;32
8065-QBYTO;71
2133-TSRRM;34
7470-DYNOE;53
1545-ACTAS;48
2363-BJLSL;62
1956-YIFGE;22
7921-LMDFQ;51
2925-MXLSX;30
5820-PTRYM;56
9609-BENEA;35
6211-WHMYA;64
4459-BBGHE;30
9945-PSVIP;25
0530-IJVDB;70
0508-SQWPL;57
8213-TAZPM;69
7142-HVGBG;43
1304-SEGFY;72
2904-GGUAZ;72
8267-ZNYVZ;33
5243-SAOTC;54
1450-SKCVI;56
5306-BVTKJ;48
6257-DTAYD;71
4616-ULAOA;65
7746-AWNQW;28
5996-EBTKM;67
2758-RNWXS;35
2405-LBMUW;61
3454-JFUBC;68
2898-MRKPI;68
2750-BJLSB;47
3648-GZPHF;32
9588-YRFHY;49
6394-MFYNG;48
2451-YMUXS;67
1024-KPRBB;38
4690-PKDQG;42
8155-IBNHG;24
0886-QGENL;27
1264-FUHCX;49
7789-CRUVC;61
6598-KELSS;50
8739-WWKDU;25
8685-WHQPW;22
6664-FPDAC;56
9972-VAFJJ;53
0422-UXFAP;51
5130-YPIRV;62
2843-CQMEG;24
8468-FZTOE;72
6967-PEJLL;37
3976-BWUCK;30
5981-ZVXOT;35
1684-FLBGS;23
0376-OIWME;36
6583-QGCSI;50
0804-YGEQV;43
4174-LPGTI;41
2523-EWWZL;27
9586-JGQKH;64
6075-SLNIL;38
0093-XWZFY;40
2274-XUATA;72
7703-ZEKEF;23
6691-CCIHA;62
1685-BQULA;40
9053-EJUNL;41
0666-UXTJO;34
7203-OYKCT;72
1035-IPQPU;63
7398-LXGYX;44
9767-FFLEM;38
0639-TSIQW;67
2569-WGERO;72
6840-RESVB;24
2234-XADUH;72
3186-AJIEK;66
